#{"t_start": 1766853891.7392583, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-102.436947,57,12.922443
-103.165556,96,13.070714
-100.868064,93,13.207161
-104.232138,2000,15.942976
-117.788652,143,16.140456
-110.905711,73,16.246073
-99.904675,113,17.990891
-114.812884,2000,43.117156
-99.408241,85,43.979586
-117.927271,69,44.791258
-100.151301,83,46.313617
-112.117574,74,47.160357
-104.418282,72,47.995585
-104.851618,71,48.855795
-101.766358,63,49.707198
-114.728151,2000,74.547618
-103.06415,49,75.316248
-101.029594,69,76.11556
-115.173234,100,77.671187
-109.401447,64,78.460872
-131.546415,362,82.537808
-116.696296,2000,108.045157
-120.375399,2000,132.942159
-112.203907,2000,157.697129
-140.932138,2000,182.238785
-110.421686,2000,207.83938
-133.698506,2000,232.688707
-126.828373,141,234.315024
-107.78823,236,237.433054
-107.051273,399,242.185172
-118.912731,65,242.998269
-122.409713,89,243.870982
-156.623874,1352,261.239507
-118.738354,2000,286.117374
-58.023216,2000,310.868007
-113.43404,571,318.183536
-105.868284,2000,343.14381
-82.058921,2000,368.275133
-108.607418,552,375.475059
-84.386232,2000,400.142818
-138.363677,738,409.611019
-95.26456,258,412.785732
-97.755926,283,416.071051
-87.562984,2000,441.582067
-96.144859,126,443.196934
-86.746056,2000,468.099861
-63.180978,2000,493.086174
-121.044471,122,494.686988
-140.262953,727,503.534225
-91.198357,172,505.902094
-107.353332,659,514.025007
-63.312284,2000,539.511363
-104.662903,384,544.325094
-68.187994,2000,569.378578
-133.385238,476,575.045391
-114.50628,1261,591.109519
-80.213696,256,594.298364
-69.807369,492,600.546157
-36.720077,2000,632.082116
-105.094389,399,636.893672
-110.388636,250,640.246989
-91.707803,2000,665.040904
-100.743654,277,668.947511
-78.700476,2000,693.816116
-124.087999,806,703.496285
-127.824428,936,715.490111
-92.890266,641,723.433136
-178.864459,2000,748.33434
-45.627203,2000,774.014386
-60.224895,503,779.604549
-59.632158,289,783.503582
-114.495928,210,785.924167
-85.278709,232,789.112068
-103.565487,2000,814.041403
-87.096121,308,817.976144
