#{"t_start": 1766847901.841273, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-96.862766,98,9.349613
-107.095987,44,9.419285
-99.596969,2000,12.357619
-103.078545,36,12.414365
-105.423347,2000,34.630216
-105.545806,2000,60.123688
-126.898455,146,61.793695
-104.967959,47,62.571564
-104.253601,65,63.394897
-104.52466,83,64.254135
-104.458985,59,65.060026
-189.422821,1140,79.673996
-120.440639,76,80.51447
-97.313283,98,82.088691
-121.794333,2000,107.597178
-124.037191,2000,133.040043
-114.231137,2000,159.034693
-123.650791,2000,184.395887
-113.87767,2000,209.92074
-142.882242,1088,223.755915
-107.49185,133,225.382012
-113.338461,2000,250.591505
-118.087521,65,251.414566
-174.716024,1674,273.476975
-62.567625,2000,299.045489
-140.964186,1091,312.900291
-106.789336,2000,338.311844
-68.426758,2000,363.660477
-86.16348,2000,389.717244
-79.27669,2000,415.107022
-77.709365,2000,440.64275
-136.210609,675,449.646775
-66.950232,2000,475.064266
-92.096533,204,477.553598
-85.04579,140,479.241257
-85.747756,2000,505.163619
-30.184594,2000,530.759417
-53.812176,2000,556.141227
-88.719383,2000,581.852213
-94.553896,258,585.142945
-58.306305,2000,611.47267
-94.913005,548,618.209704
-106.76579,255,628.349401
-130.69196,1185,644.199675
-61.686921,2000,670.008671
-96.646493,339,674.237741
-88.952401,2000,700.005434
-119.986115,971,713.044392
-117.273767,636,721.243277
-140.912661,1440,739.261199
-87.522854,190,741.769286
-85.651978,539,748.361969
-67.832527,2000,774.70637
-81.333923,139,776.392324
-92.866084,218,778.856272
-85.998034,232,782.084305
-103.144792,310,786.147048
-86.416154,128,787.767545
-130.973968,499,794.226182
-93.15448,2000,819.704179
-87.941999,302,823.118003
-98.538823,249,826.459858
-105.936082,774,836.346605
-97.657494,767,846.240201
-80.402257,225,849.511573
-81.70156,175,852.02012
-79.968834,278,855.43065
-50.553775,2000,880.94956
-101.094819,313,885.07162
-86.089087,2000,910.546408
-152.251838,2000,936.737542
-114.189248,590,944.246354
-100.209616,336,948.427779
-54.026773,2000,973.919548
-111.357204,2000,999.917301
-51.845644,2000,1025.300201
-60.244106,571,1032.539709
-74.313494,1922,1056.815122
-67.970585,414,1061.789486
-200.46989,1765,1084.609437
-58.339443,533,1091.133274
-95.360237,1265,1107.504607
-74.714642,383,1112.354711
-107.777671,289,1115.66825
-31.537378,2000,1141.803381
-115.876717,304,1145.158205
-158.164173,1223,1161.401599
-91.555025,294,1164.768244
-81.75438,166,1167.203846
-64.756471,643,1175.331211
-108.611876,2000,1200.386202
53.866349,2000,1225.620151
-74.226235,530,1232.831789
-96.345161,231,1235.355081
-44.692112,2000,1260.657343
-81.80886,168,1263.0551
-1.314598,1568,1290.34468
-94.643617,1713,1311.53831
25.166682,2000,1337.322736
-44.726414,1546,1356.867544
-171.092068,1649,1377.975381
-87.008208,1551,1397.496136
-88.689114,408,1402.500455
-19.619751,1072,1416.308007
-11.634001,2000,1441.745718
-31.370931,2000,1466.957203
-64.92914,1068,1480.613065
-93.582072,138,1482.324371
-46.368665,595,1490.341708
-90.356247,177,1492.074125
-78.263285,378,1496.942534
-76.101922,334,1501.059168
146.359896,2000,1527.107046
-46.315513,294,1530.430784
-114.072692,2000,1556.492192
-121.674847,2000,1581.856117
-19.42064,587,1589.26593
-96.933312,2000,1614.467762
-85.339801,164,1616.840239
-69.069742,1368,1633.887034
57.478904,1962,1659.104289
-68.11452,271,1662.440177
-174.190195,1424,1680.384752
-112.94308,256,1683.612365
-88.02256,129,1685.269904
-84.658142,272,1689.237732
-80.504756,548,1695.799736
-96.540467,2000,1720.990094
-122.716357,73,1721.88243
-98.541102,303,1725.893927
-14.302559,2000,1751.24595
31.526936,2000,1777.223274
54.320698,2000,1802.562187
-64.256817,2000,1827.92044
-100.035359,239,1831.178055
