#{"t_start": 1766945051.1659534, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-145.128224,2000,14.668457
-119.958568,51,15.219678
-120.593846,36,15.292784
-112.648321,75,15.413807
-120.772679,75,15.557397
-142.888898,126,15.761361
-115.010483,42,15.82646
-112.823786,71,15.954364
-156.306269,2000,20.139859
-130.436079,115,20.424211
-110.037444,78,20.585281
-110.825681,63,20.704605
-150.679035,2000,24.498498
-119.976301,56,24.606312
-117.573027,80,24.750903
-142.93216,281,25.227646
-144.066539,2000,29.115714
-121.296714,48,29.215689
-112.558627,74,29.342337
-112.262552,71,29.474336
-185.290201,1238,32.626136
-116.082695,63,32.754678
-109.689949,70,32.888695
-132.695241,113,33.084294
-156.975721,889,34.560642
-110.789631,80,34.712831
-123.460078,47,34.807286
-249.046682,1792,39.405356
-111.993817,73,39.549385
-114.662177,72,39.702946
-113.296133,64,39.814415
-133.393449,68,39.938169
-113.34241,77,40.063372
-115.900433,52,40.148937
-139.427782,2000,44.605359
-118.453452,49,44.691457
-111.337884,78,44.82707
-108.219012,75,44.961153
-113.550768,60,45.053138
-139.046411,124,45.728667
-120.53105,65,45.889766
-134.62209,93,46.086722
-113.322192,69,46.216607
-113.389083,53,46.3263
-114.446642,114,46.530883
-134.220914,2000,50.502661
-114.485838,134,50.732841
-147.326593,2000,55.007138
-128.070746,72,55.149356
-111.676208,74,55.377931
-128.958404,2000,59.668919
-121.453104,61,59.766257
-118.827519,84,59.938159
-122.312925,51,60.049624
-148.359339,2000,77.31997
-133.059261,96,77.493359
-117.149581,111,77.706923
-127.229878,82,77.868519
-126.853488,2000,82.472833
-125.135936,68,82.607791
-123.881928,66,82.721658
-140.551638,2000,86.995762
-114.948618,63,87.116266
-111.929625,72,87.273427
-129.978397,524,88.208291
-130.35438,79,88.349402
-124.813008,56,88.452899
-159.742137,893,90.820943
-129.37687,2000,95.147087
-128.451948,80,95.282397
-158.486929,1199,97.397402
-123.006163,67,97.533916
-126.391498,2000,101.43019
-145.51196,2000,120.897565
-116.211271,92,121.032932
-116.73954,56,121.142888
-117.152981,64,121.680652
-110.504765,2000,125.436893
-119.240704,65,125.615906
-146.329998,2000,130.336594
-124.375302,2000,133.793404
-114.546807,56,134.443822
-111.312834,64,134.549077
-112.992327,94,134.739442
-121.635931,48,134.825136
-145.935555,2000,139.248941
-153.968851,862,140.783609
-145.302591,2000,157.741344
-138.726216,662,158.918144
-142.198124,676,160.588036
-116.787114,2000,165.08561
-126.427294,2000,168.99318
-121.083341,52,169.082941
-130.305744,2000,173.080592
-118.91924,70,173.23964
-144.887356,2000,177.757818
-122.442993,2000,181.79728
-123.044175,457,182.634462
-124.660556,83,182.779517
-145.968313,2000,200.115686
-125.441124,2000,204.071697
-123.003191,2000,208.208908
-130.512531,2000,212.612268
-126.746173,2000,216.600809
-122.994402,2000,221.065368
-131.724466,2000,236.521576
-152.194482,1091,238.403215
-125.637861,477,239.184742
-121.985387,433,240.55595
-102.980497,2000,244.433789
-130.080886,536,245.716009
-105.032928,220,246.267726
-96.106687,2000,249.950257
-132.206373,2000,253.862143
-131.246018,2000,258.566373
-175.277042,1791,272.826397
-146.474014,2000,276.925364
-117.972171,429,277.664766
-127.888189,1211,280.52332
-206.720966,1859,284.39337
-148.699448,956,286.853872
-133.406466,2000,291.369243
-147.772312,2000,296.463149
-126.009322,507,297.380554
-148.599658,809,309.432062
-102.970458,454,310.170776
-164.452777,1553,313.297738
-146.857254,2000,317.586608
-81.502104,2000,321.125558
-125.87586,1026,323.57362
-149.561123,2000,327.843671
-46.811528,2000,332.370411
-149.05914,2000,339.354725
-134.042254,575,340.717985
-117.050593,70,340.950422
-146.654425,2000,345.422315
-93.988199,2000,349.514176
-105.537788,2000,354.282225
-111.884853,305,354.8254
-95.535531,675,356.558372
-125.274941,777,357.98085
-134.908095,814,359.375795
-136.941933,2000,363.321728
-113.403579,776,368.583433
-134.215942,127,368.81041
-146.976151,2000,372.912986
-125.5135,512,373.779436
-105.684628,223,374.161533
-144.653223,2000,378.663284
-108.050312,749,380.427726
-100.470376,169,380.761342
-135.102758,2000,384.634244
-130.905433,2000,388.862155
-147.332994,2000,392.96057
-101.174676,2000,406.834547
-102.567036,191,407.155782
-70.981345,2000,411.352464
-99.919683,146,411.676848
-96.661095,389,412.673743
-145.263683,2000,416.750574
-103.943829,210,417.094113
56.473661,2000,420.953556
-104.759229,206,421.287477
-116.965711,338,421.900504
-99.381804,150,422.133921
-109.88919,2000,426.627478
-114.987846,340,427.280868
-125.262911,2000,438.942619
-95.459815,232,439.385973
-125.679801,652,441.13843
-134.143984,2000,445.558854
-108.190666,2000,450.278396
-133.695111,2000,454.566972
-119.655506,2000,459.678905
-106.440112,245,460.469667
-49.569491,2000,465.403352
-110.871783,271,479.316986
-69.467366,929,480.988732
-107.826268,257,481.377954
-137.592025,1430,485.020316
-125.78444,2000,489.110373
-18.260357,2000,493.198297
27.830486,2000,497.572072
-147.390089,2000,501.713813
-78.764668,2000,511.562832
-96.872174,2000,515.485302
-84.746006,2000,520.010633
-104.165752,2000,523.785104
-5.99484,2000,527.583816
-155.327095,1368,530.539484
-52.757977,2000,534.978845
-129.596922,2000,547.870863
-129.677914,2000,551.685536
-10.185913,2000,555.859489
-127.998965,2000,559.809584
-85.797709,2000,563.906703
-98.692826,2000,568.206182
-131.055247,2000,580.703959
-109.948808,313,581.904005
-77.008608,765,583.440485
-112.736432,356,584.063757
-90.880115,167,584.374652
-116.695525,421,585.208372
-125.040913,961,587.501761
-106.934187,218,587.979087
-105.339953,2000,593.220464
-56.089484,2000,598.529451
-108.98157,244,598.997598
-98.402323,184,599.351555
-127.465727,185,599.73123
-105.675059,204,600.126621
-98.594458,182,600.541594
-84.997906,433,601.976873
-95.328705,134,602.307267
-120.964831,813,604.148111
-60.492483,1570,607.883993
-107.136164,2000,620.362982
-130.133997,525,621.350462
-101.285948,162,621.640194
-53.981451,2000,626.30381
-144.383161,2000,630.74049
-158.826794,1194,633.430073
-100.030834,177,633.746843
-101.359051,180,634.075967
-144.228212,2000,638.613412
-126.358855,501,639.64924
-146.27372,2000,643.565883
-140.762795,355,644.09586
64.383343,2000,659.575092
-99.192977,155,659.917307
-92.636549,2000,664.671363
-59.028665,1108,667.467997
-81.278059,2000,671.48984
-154.105609,861,673.193485
-130.680976,2000,677.719583
-99.940844,153,678.015531
-143.068824,2000,682.265272
-67.918626,378,692.048739
-51.785136,949,694.507722
-85.414987,2000,699.330623
-102.297324,159,699.683687
-64.812028,1185,702.531861
-84.705479,1390,704.959126
-38.544275,2000,709.479875
-120.882928,468,710.722777
-55.056748,2000,715.119395
-63.719229,2000,719.551189
-64.327272,937,729.881207
-109.629634,444,730.640077
-98.22712,2000,735.10352
-62.250747,2000,738.951261
-92.162507,2000,742.823118
-127.001871,183,743.18487
-131.120533,2000,747.88189
-100.153205,169,748.168808
-18.123186,2000,752.238201
-133.462382,1015,754.898299
-86.330619,471,762.734535
-69.414054,2000,766.753218
-117.128729,979,768.681395
-129.88784,2000,772.93877
-122.093562,2000,777.741625
-132.860303,1751,782.222679
-104.087705,172,782.51868
48.320088,2000,786.564807
49.898399,2000,800.214642
-95.950939,2000,804.398156
-108.625872,293,805.150682
-120.908588,38,805.239446
-57.585891,802,807.155137
-93.924137,566,808.111384
-89.420615,2000,811.97435
-92.079453,2000,816.077673
-85.383399,484,817.316037
-74.706676,339,817.886345
-100.657785,163,818.242751
-72.224686,628,819.855345
-98.725897,146,820.112911
-70.839045,1114,822.067524
-127.785227,2000,832.605148
-129.752711,2000,836.501415
-101.654848,818,838.499072
-125.354872,50,838.592729
-103.523759,871,840.542296
-88.989097,687,841.810118
-142.061958,2000,845.925126
-143.145992,2000,849.829049
-63.688809,2000,854.223338
1.279389,2000,865.86789
-101.071664,172,866.175452
-133.210519,2000,870.206878
-127.245982,2000,873.970187
-143.851118,2000,878.564413
-141.93666,2000,882.637584
-61.834959,429,883.968111
-73.373539,1078,885.889825
-86.868318,578,887.052334
27.877338,2000,898.909004
-100.20264,1112,901.554785
-46.650115,2000,905.225422
-19.781541,2000,908.854556
-81.11413,410,909.487475
12.709857,2000,913.846646
-107.646581,272,914.280437
-78.639846,977,916.599429
-67.062102,2000,920.402631
-72.640697,2000,932.513578
-36.063577,2000,937.060522
-130.062912,2000,940.997836
72.423152,2000,944.963046
-121.82154,677,946.28375
-90.430677,328,947.052268
-114.076006,471,948.410957
-98.549875,127,948.618741
-109.801882,276,949.167455
-80.608975,519,950.946846
