#{"t_start": 1766944150.5814936, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-119.694893,78,8.114372
-116.280294,126,8.304782
-103.657313,2000,11.149388
-104.074403,2000,32.701591
-107.000776,67,33.528789
-101.701862,87,35.100756
-116.747975,79,35.939878
-103.608841,64,36.744828
-204.694826,1345,53.778683
-127.879375,2000,79.16833
-116.622778,64,79.970623
-119.190492,66,80.779299
-115.261543,74,81.61878
-136.487446,2000,107.633441
-138.02553,2000,132.896725
-100.647753,80,133.769182
-126.543676,58,134.648258
-124.80466,59,135.471914
-165.204013,540,142.048489
-104.423559,96,143.607182
-120.097782,74,144.427692
-110.405916,54,145.224886
-108.780122,455,150.962564
-200.580124,999,163.998171
-129.280959,350,168.219597
-109.830211,91,169.090503
-109.516637,87,170.679981
-110.147815,93,171.573764
-108.040733,63,172.4085
-110.345215,84,173.980876
-116.022735,81,174.840658
-113.08788,88,175.703049
-109.246349,66,176.516475
-155.103732,2000,201.970541
-158.625556,2000,227.998727
-120.215893,167,229.711415
-148.125481,166,232.125626
-125.679187,100,233.026328
-130.104758,105,234.628329
-187.495406,2000,260.178384
-156.085519,2000,286.373978
-154.123894,2000,311.697783
-142.712489,2000,337.025034
-144.554126,2000,362.247402
-145.178879,2000,388.271551
-141.276525,2000,413.590549
-130.012194,2000,439.029956
-117.683157,2000,464.547104
-119.206456,47,465.341097
-113.359686,2000,490.76632
-129.215893,2000,516.935997
-109.489368,2000,542.150768
-123.281158,640,550.212256
-123.122559,667,558.358489
-122.299927,2000,583.878334
-118.907414,559,591.303395
-128.871691,2000,617.124047
-204.557077,1943,654.209943
-114.056332,2000,680.139798
-97.822545,274,683.546782
-99.073747,213,686.773814
-107.600321,271,690.135921
-197.655755,1336,707.663894
-127.565873,2000,733.574787
-121.043631,2000,759.707415
-190.679613,1371,778.008675
-152.407807,2000,803.968646
-216.314119,1562,824.067712
-189.75947,1700,846.627391
-109.600695,2000,872.724016
-116.125562,2000,898.792576
-133.702502,2000,925.665504
-162.813511,2000,951.707545
-116.421994,2000,977.60622
-112.827582,2000,1003.474514
-127.463385,1093,1018.288117
-139.779496,2000,1044.024309
-110.085085,2000,1070.0976
-108.801141,2000,1095.829295
-102.429677,2000,1122.275954
-90.518988,2000,1147.925457
-113.736279,2000,1173.515051
-110.433996,2000,1199.466611
-109.01096,2000,1226.062585
-129.109224,2000,1251.851029
-107.966174,2000,1277.679599
-99.337208,2000,1316.825053
-147.937591,1060,1331.04998
-139.701877,883,1342.646988
-86.184752,2000,1368.661307
-159.351821,2000,1394.501447
-101.197993,2000,1420.584066
-158.009794,2000,1447.164135
-125.418344,599,1454.663825
-98.471155,2000,1480.382535
-183.027229,1144,1495.424433
-106.842679,2000,1521.304157
-119.630303,2000,1547.624319
-118.385584,496,1553.54282
-104.983412,146,1555.957627
-88.827458,2000,1581.873189
-127.642556,2000,1607.652981
-189.262322,2000,1633.663865
-173.669034,2000,1660.206004
-97.500774,2000,1686.288943
-114.097869,2000,1712.250042
-126.900683,2000,1738.083168
-117.46977,2000,1764.754915
-112.592389,2000,1790.550249
-90.679241,2000,1816.481569
-137.870567,2000,1842.238933
-140.614447,2000,1868.753046
-88.454329,2000,1894.591122
-95.347688,2000,1920.40204
-143.302837,2000,1959.841106
-102.88589,2000,1986.160716
-120.997806,2000,2011.906337
-115.081521,57,2012.740181
-155.053872,2000,2038.274851
-121.686211,2000,2063.994505
-103.730938,2000,2090.77351
-136.877927,2000,2116.642882
-101.336298,2000,2142.25363
-122.294585,2000,2167.88393
-99.150942,2000,2194.031635
-134.386122,2000,2219.728701
-134.875438,2000,2245.203877
-135.898992,2000,2270.948624
-74.919667,2000,2297.314321
-129.132746,2000,2323.205643
-127.089326,2000,2348.693956
-129.398356,2000,2374.155241
-128.232756,2000,2400.66717
-123.485602,2000,2426.30376
-90.8156,2000,2451.941001
-127.435408,2000,2477.590624
-128.211486,2000,2503.893286
-87.472703,2000,2529.796535
-110.398595,204,2532.298714
-146.747112,2000,2558.074992
-99.406095,2000,2584.134254
-130.56658,2000,2624.221382
-57.304354,2000,2650.190148
-107.187292,288,2653.546284
-174.08603,1575,2674.464489
-127.674636,2000,2700.211253
-98.059863,2000,2726.80387
-105.67772,2000,2752.648109
-143.013259,2000,2778.525531
-154.825164,964,2790.943422
-133.372234,2000,2816.804029
-129.904982,2000,2843.09654
