#{"t_start": 1766847675.6262035, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-102.436947,57,12.922308
-103.165556,96,13.09112
-100.868064,93,13.234745
-104.232138,2000,16.149713
-117.788652,143,16.348709
-110.905711,73,16.450403
-99.904675,113,18.293569
-114.812884,2000,43.329491
-99.408241,85,44.16867
-117.927271,69,44.97551
-100.151301,83,46.4856
-112.117574,74,47.304564
-104.418282,72,48.129063
-104.851618,71,48.959496
-101.766358,63,49.792412
-114.728151,2000,74.880038
-103.06415,49,75.662161
-101.029594,69,76.473008
-115.173234,100,78.028818
-109.401447,64,78.811734
-131.546415,362,82.895583
