#{"t_start": 1766946206.9669201, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-163.723255,2000,13.100134
-175.590354,2000,18.443333
-129.934867,62,18.587817
-127.450255,56,19.140399
-118.352815,52,19.255508
-122.264525,138,19.58155
-112.466701,78,19.76325
-114.614345,57,19.906173
-138.730363,2000,24.847316
-126.62483,72,25.019009
-157.457004,2000,30.113567
-113.436066,62,30.257014
-137.25495,103,30.497437
-152.85001,2000,35.405666
-130.98613,85,35.59997
-116.925188,120,35.874101
-124.494794,105,36.100303
-123.770221,53,36.228819
-144.600643,2000,41.903916
-133.98296,87,42.113211
-110.644135,56,42.251853
-118.997315,63,42.405795
-124.763296,2000,47.438375
-109.942266,101,47.673703
-151.368764,808,49.492895
-148.633933,2000,54.538423
-133.889677,102,54.784313
-174.331549,1125,57.76318
-135.515549,91,57.988605
-135.346527,91,58.216608
-106.805271,2000,63.258706
-146.648617,2000,68.253963
-151.965648,829,70.140567
-111.974444,2000,85.497209
-145.463774,748,87.650795
-138.057363,632,89.081672
-120.443611,415,90.048282
-122.781917,56,90.189474
-146.684856,2000,95.253745
-145.636099,2000,100.172704
-133.606842,627,102.002631
-127.81254,2000,106.956784
-126.55936,2000,111.847607
-121.906422,2000,129.539229
-94.96854,2000,134.446904
-99.038596,2000,139.377051
-114.890526,2000,144.372376
-112.676169,331,145.534978
-144.696482,2000,150.470778
-111.71967,314,151.182222
-110.51898,62,151.327918
-143.361995,2000,156.435393
-78.493547,2000,171.888381
-134.518338,107,172.13814
-110.875277,2000,177.144031
-142.973185,2000,182.142005
-142.622337,2000,186.922964
-135.646015,2000,192.003683
-151.782925,1381,195.128396
-102.107957,2000,200.786452
-140.347648,2000,205.824917
-112.165191,327,206.523564
-140.18458,2000,211.251601
-111.675277,885,213.660476
-147.87394,450,214.740419
-74.79645,2000,219.863441
-145.498706,1017,222.684814
-115.026405,42,222.788291
-105.859558,249,223.355018
-105.099258,243,223.915855
-70.277827,2000,229.049643
-146.793642,1400,240.463165
-109.305982,267,241.478532
-142.370433,2000,246.505415
-92.444553,543,247.685452
-107.950831,296,248.390213
-146.579332,2000,253.472734
-193.637361,1219,256.625917
-101.816696,179,257.043543
-101.933124,179,257.463614
-101.25374,177,257.889099
-111.118272,1093,260.356954
-223.912693,1693,264.775445
-71.14411,2000,269.657769
-43.707579,2000,285.297007
-83.439417,407,286.188455
-142.786112,2000,291.25729
-141.931833,2000,296.264514
-96.885333,735,298.367729
-100.603598,189,298.808656
-34.310317,2000,303.845765
-112.012277,298,304.521824
-106.245048,191,304.961833
-143.651545,2000,309.824801
-145.01219,2000,324.073337
-121.092218,2000,329.195294
-101.228587,1245,332.002785
-97.187244,2000,336.939054
-99.901436,159,337.736262
-107.511416,273,338.363976
-151.745271,1025,340.793725
-143.404649,2000,345.706238
-134.900068,455,346.712035
-117.713066,819,348.958565
-151.944014,2000,364.532009
-105.963563,241,365.122052
-110.624903,543,366.371347
-125.462644,2000,371.403774
-67.588478,1363,374.912378
-103.187989,448,375.970075
-128.352389,498,377.172891
-86.350832,351,377.994279
-116.581194,382,379.308112
-92.579888,1079,381.733572
-50.681289,2000,386.676155
-143.267297,2000,391.728436
-105.8415,259,392.311044
-80.238913,248,392.870225
-86.063727,651,405.515646
-26.276081,2000,410.480312
-100.669728,440,411.435428
-83.383629,2000,416.44345
-80.440559,804,418.175502
-87.737023,578,419.506032
-150.842706,2000,424.334968
-96.343031,1047,427.247906
-127.206353,2000,432.156192
-99.218403,183,432.574419
-61.882642,2000,448.403779
-147.952968,2000,453.382133
-97.357358,2000,458.215235
-106.194614,246,458.768242
-81.409957,2000,463.709156
-129.557084,562,465.053795
-134.537602,2000,470.06064
-148.776608,2000,475.011809
-114.4792,1331,487.327326
-105.643565,245,487.901367
