#{"t_start": 1766935366.877967, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-106.530511,68,8.734287
-101.317393,2000,11.493852
-118.285306,171,11.72977
-127.142181,2000,36.161042
-108.44937,54,37.046916
-121.118586,2000,64.447342
-114.557802,76,65.408817
-118.703732,81,66.337166
-106.575391,63,67.21353
-110.874604,79,68.119325
-111.59441,70,69.740605
-105.506935,58,69.860044
-110.603189,2000,98.115968
-110.225711,2000,125.687851
-110.867883,45,126.550716
-110.3632,2000,154.46511
-103.974595,417,159.916049
-131.784327,185,162.575777
-114.144422,2000,190.808399
-108.432806,2000,218.091076
-107.796605,88,219.024631
-100.488855,57,219.923805
-110.494258,2000,247.596789
-109.082836,2000,276.138869
-145.867325,2000,303.255007
-92.676285,2000,330.586959
-105.985589,492,337.675725
-100.977354,401,342.976707
-98.536457,339,347.428765
-75.337935,2000,375.531549
-109.564093,718,385.176245
-73.702477,2000,412.646167
-126.77807,92,414.395263
-125.18543,151,416.226459
-152.833517,895,428.58094
-110.416489,467,434.937642
-102.07402,170,437.585015
-85.2399,2000,465.9016
-128.40148,783,477.012163
-112.558834,208,480.575768
-99.257735,301,484.288016
-119.352706,489,491.467983
-121.18193,367,496.949907
-85.832409,463,503.45773
-107.521553,108,505.185882
-96.457998,357,509.887892
-28.405085,2000,537.320349
-102.472966,347,542.492346
-128.885201,813,554.157996
-93.619205,272,557.796745
-85.119122,2000,585.786923
-134.922207,850,597.39455
-79.170243,1713,621.717692
-99.053602,497,628.943083
-87.395699,180,631.694511
-149.978134,2000,659.418306
-137.326708,998,672.695557
-114.222423,502,685.308016
-43.291195,789,697.151462
-56.105737,759,708.148341
-97.685719,2000,735.658794
-96.310202,224,738.402274
-99.225306,2000,767.565035
-74.60374,588,775.747311
-103.592065,298,779.484702
-77.062219,861,791.907302
-98.054308,268,795.50489
-58.875384,843,807.085235
-97.455602,274,810.610753
-134.105165,929,824.03007
-64.054838,1484,845.003719
-84.810289,775,855.879183
-110.209667,777,866.905587
-128.975761,781,878.533033
-77.136886,219,881.297885
-104.585858,317,885.715272
-51.634348,895,898.242433
-106.725025,678,908.005862
-53.050126,1196,923.914835
-92.748718,255,927.529594
-98.658786,243,931.00984
0.130732,1295,948.98649
-89.654417,232,952.520728
16.018031,2000,980.545662
-44.945164,2000,1008.567277
-68.68331,488,1015.809096
-95.396383,240,1019.435271
-124.655929,433,1025.91033
-90.304885,936,1039.128573
-59.88643,816,1051.129442
-79.119792,275,1054.808194
-76.463081,866,1067.276538
-128.368027,1399,1086.883535
-140.717705,1741,1110.922227
-224.419351,1853,1136.340734
-93.46214,201,1138.955968
130.516617,2000,1166.328671
-103.331431,596,1174.326469
-98.67937,213,1177.744178
-89.915606,2000,1204.867625
-88.880955,367,1210.122456
-89.943074,201,1212.822579
-63.528886,659,1221.757124
-60.899007,2000,1248.922006
-75.987672,347,1254.130954
-97.400315,299,1258.546159
-85.392955,304,1262.201045
-96.172929,281,1266.556858
-60.927925,385,1271.916994
-80.374714,255,1275.459526
-89.620039,224,1278.119201
54.103788,1903,1304.277328
-84.956651,190,1306.925463
-44.098326,435,1313.079268
-104.66514,176,1314.916531
-102.495579,329,1320.174812
-93.353636,222,1322.819607
-48.386151,636,1331.630587
-24.631653,1225,1348.339152
-48.580566,1084,1363.361626
-63.952829,530,1370.398709
-107.444319,783,1392.406243
-63.733195,258,1396.006685
-50.041715,680,1404.863368
-112.162448,2000,1432.323618
-66.317199,534,1439.981889
-65.212601,499,1446.96426
-96.010157,244,1449.723614
-54.496956,500,1456.734735
-185.254274,1749,1481.180139
-53.917719,935,1493.566456
-86.565039,155,1496.090653
-68.929928,2000,1523.27221
-94.625828,239,1526.771169
-118.711755,2000,1553.856851
-98.690399,2000,1580.991495
-3.071909,2000,1608.305658
-71.962138,1473,1628.638827
-97.027916,212,1632.04425
-101.314963,327,1636.434682
-53.090479,548,1643.560129
-115.049515,2000,1671.531455
50.42814,2000,1698.934985
-46.513522,820,1710.273835
-18.909123,557,1717.408911
-96.696237,158,1719.9797
-74.986403,523,1727.032977
-120.074337,813,1738.363359
-81.657811,2000,1766.404125
-129.293302,2000,1794.450149
-41.396474,2000,1823.369618
-71.348176,1134,1839.282961
27.775984,2000,1867.19786
116.714061,2000,1895.901039
18.072739,1352,1914.752178
1.161102,2000,1942.825057
-99.70044,250,1946.403672
-88.914744,325,1950.766392
31.173525,2000,1978.529806
-113.703358,2000,2007.735545
31.30228,757,2017.70165
-96.91652,212,2021.1773
-137.269358,2000,2049.228825
138.44631,2000,2077.067135
128.98242,2000,2117.020624
-106.820832,2000,2145.59314
13.543194,1065,2160.162817
-62.617071,1326,2178.860021
-41.719413,526,2186.051823
-64.5459,831,2197.971025
-71.299585,292,2202.367021
-63.862339,384,2207.7024
-51.262184,440,2213.892302
-68.065132,571,2221.926711
-95.773926,183,2223.791887
-50.547254,445,2230.179548
-56.967849,434,2236.417829
-54.459632,615,2245.237219
-75.531407,257,2248.74048
-76.123813,299,2252.478696
-103.188074,297,2257.006931
-91.248998,2000,2284.815676
-88.99332,2000,2313.562029
10.558743,2000,2341.343041
25.272,2000,2369.751531
-122.587606,2000,2397.441782
-97.494183,2000,2425.488515
-50.124134,739,2435.256093
-22.213657,2000,2462.575209
-124.57305,1267,2479.989895
-102.122504,376,2485.280305
-60.961165,194,2487.874999
-121.145884,1715,2511.5637
22.431725,1206,2528.243942
-76.647722,402,2533.485841
-15.974011,2000,2560.840863
-111.836653,2000,2588.829643
-3.7629,2000,2616.152384
-96.328074,174,2618.753646
-1.456068,1011,2631.957918
-127.518107,796,2643.415374
147.333635,2000,2670.682571
-117.293105,880,2682.905665
-20.150388,1517,2702.742148
-48.861113,2000,2730.991829
-31.848904,467,2737.193814
251.430585,1706,2760.920403
-25.71605,2000,2799.776815
-110.580597,2000,2827.108506
-104.211695,2000,2854.356784
-191.542496,1737,2878.646445
72.50224,1396,2897.1717
-29.898914,1132,2912.973394
31.369478,2000,2940.649937
-8.675171,2000,2968.655521
-99.954211,234,2971.362727
-11.6349,1313,2989.985613
-2.539283,838,3001.498882
-87.694047,270,3005.052814
-126.351107,1581,3027.286412
-99.231512,249,3030.77225
-69.59965,196,3033.417553
-91.068187,248,3037.060389
-29.025491,461,3043.549757
-102.81538,306,3048.138951
114.035251,2000,3076.185857
-19.355172,2000,3103.955817
-96.62878,192,3106.707187
-24.716733,554,3115.004526
263.853605,1619,3137.274534
-91.984133,285,3140.924003
-104.722557,2000,3169.507572
-68.404677,1138,3185.587276
-95.040611,168,3188.279949
-191.257936,1739,3212.329997
14.754053,762,3223.060111
18.09219,2000,3250.682394
-76.075361,373,3256.060599
-76.532062,1236,3273.871531
-62.131051,432,3279.306242
-74.522542,2000,3307.492951
-95.544691,2000,3336.051605
7.671578,2000,3364.071661
56.130498,1738,3388.265708
-73.980843,2000,3415.882679
58.676018,2000,3444.696852
7.561032,954,3458.157385
-130.813142,725,3468.376215
-76.871053,2000,3496.594897
-48.550057,526,3517.97173
-56.775024,517,3525.803998
-34.325253,763,3535.839724
21.772771,1089,3551.027062
125.84857,1716,3575.823776
-74.260003,2000,3604.971065
32.518609,2000,3632.497262
56.340372,2000,3660.084831
85.405684,2000,3687.541947
-102.688703,2000,3715.320617
-51.624843,2000,3742.557909
-100.220086,366,3746.967428
-54.613828,324,3752.138607
-46.196307,2000,3779.474381
-105.375511,2000,3806.803766
99.635908,2000,3833.793918
-37.418789,343,3839.083176
98.767403,2000,3866.26515
101.545342,1376,3884.919704
-95.388306,256,3888.398781
-118.328461,2000,3916.355568
251.658364,1671,3939.010406
-99.012529,242,3942.449986
-43.751194,2000,3969.855834
124.259794,2000,3997.060439
-84.921451,2000,4024.089754
-46.590669,2000,4051.808833
-95.883865,2000,4078.883978
3.916864,2000,4106.127487
-53.47267,755,4116.4692
-51.469624,324,4120.950462
-96.665782,154,4122.738698
37.053723,2000,4150.506651
-92.245471,2000,4177.667741
-28.063707,2000,4218.648205
45.373929,2000,4245.967067
44.829864,1328,4264.535667
-20.507868,2000,4292.399668
-34.539601,2000,4321.191095
-16.620313,861,4332.767826
-69.321999,346,4337.19212
-88.800716,2000,4366.010464
4.668642,1693,4389.6433
-58.283438,320,4394.189386
-46.355356,413,4400.443971
18.079888,2000,4428.038503
-38.57676,2000,4455.72349
-81.144134,2000,4483.826346
39.155626,2000,4512.285197
-86.589689,2000,4540.395111
-3.411026,2000,4567.944747
-20.869126,2000,4596.208158
-73.955519,2000,4625.194911
-65.256246,404,4630.45627
-86.685845,2000,4658.375038
-16.892644,589,4666.335736
263.226931,1446,4687.161463
-68.611802,2000,4715.218279
245.421477,1760,4740.02102
258.047397,1566,4762.068436
260.465178,1458,4782.575435
-138.296686,2000,4810.583673
-23.80572,466,4816.724253
249.474986,1651,4839.38378
-41.265085,2000,4867.54098
91.786847,2000,4894.519938
